Mã CK ,Sàn ,Ngành ,Cơ Cấu Thu Nhập,Đầu Vào,Sản Xuất,Đầu Ra,Khác
TMT,HOSE,Ô tô,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm (2022)
Bán ô tô
• Doanh thu: 73,1%.
• Lợi nhuận gộp: 80%.
Cung cấp dịch vụ: Giao hàng, khám bệnh, sàn giao dịch.
• Doanh thu: 26,9%.
• Lợi nhuận gộp: 20%.","Linh kiện đầu vào
Toàn bộ động cơ, hộp số, trục các đăng, cầu trước và sau, khung xe ... nhập khẩu từ nước ngoài và các cụm chi tiết sản xuất trong nước, thùng hàng, bộ nhịp, săm lốp, ắc qui, vành bánh xe","Nhà máy ô tô Cửu Long (2004)
Diện tích 20 ha. Công suất 40.000 xe/năm.
Nhà máy ô tô Cửu Long được trang bị dây truyền lắp ráp hiện đại và linh hoạt phù hợp cho các loại xe tải trọng tải từ 500kg đến 10 tấn.
Công nghệ hàn điểm (hàn bấm) đảm bảo độ vững chắc, tính đồng nhất và nâng cao tuổi thọ của sản phẩm trong điều kiện khí hậu khắc nghiệt của Việt Nam.
Toàn bộ 100% thùng, cabin đều được phốt phát hóa bề mặt nhằm nâng cao tuổi thọ kim loại, đồng thời là công đoạn chuẩn bị cho sơn lót và sơn màu.","Thị phần xe tải của TMT trong ngành đạt 33%
Thị trường tiêu thụ trải rộng khắp cả nước, tập trung mạnh ở các tỉnh phía Bắc và Tây Nguyên.
Tập trung vào dòng sản phẩm xe tải nhẹ máy xăng, xe tải van và dòng xe tải năng trên 24 tấn.
Các sản phẩm đều đạt tiêu chuẩn khí thải EURO II.",
TNA,HOSE,Vật liệu xây dựng,"Cơ cấu doanh thu (2021)
- Hàng hóa (97.3%)
- Thành phẩm (1.7%)
- Kinh doanh BĐS (0.8%),
- Khác (0.1%)
Cơ cấu lợi nhuận gộp (2021)
- Hàng hóa (82%)
- Thành phẩm (5%)
- Kinh doanh BĐS (13%)",,,"Hoạt động trong 5 lĩnh vực chính
Kinh doanh sắt thép, Phân phối thực phẩm ngoại nhập, Bất động sản, Điện máy, Đầu tư giáo dục
Để tránh việc phụ thuộc mảng kinh doanh sắt thép, TNA đã có những động thái đa dạng hóa cơ cấu kinh doanh:
• Tìm kiếm thêm mặt hàng thép để kinh doanh mới, mở rộng hoạt động cho thuê văn phòng bằng cách thuê và cho thuê lại, tìm kiếm quỹ đất để phát triển mảng bất động sản.
• Đồng thời, TNA cũng hợp tác đầu tư bất động sản với một số đối tác như Azure Group, CT Group, ... để đẩy mạnh phát triển lĩnh vực bất động sản.","Dự án
Dự án Rose Garden:
• Là loại hình kinh doanh Chung cư + Trường học nằm ở phường Hiệp Phú, Q.9, TP.Thủ Đức.
• Dự án có quy mô 6.09 ha ((chung cư 03 Block từ 18 đến 28 tầng+ Trường học từ 2-3 tầng + Thể dục thể thao 01 tầng và công viên cây xanh).
• Dự án dự kiến thực hiện trong giai đoạn 2022-2026."
TNG,HNX,"Hàng dệt, may và phụ kiện","Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm (2022)
Bán hàng: FOB
• Doanh thu: 83,2%.
• Lợi nhuận gộp: 82,6%.
Gia công: CMT
Doanh thu: 15,8%.
• Lợi nhuận gộp: 15,7%.
Sản phẩm thời trang
• Doanh thu: 0,7%.
• Lợi nhuận gộp: 0,9%.
Bất động sản
• Doanh thu: 0,3%.
• Lợi nhuận gộp: 0,8%.
Cơ cấu doanh thu theo thị trường xuất khẩu (2022)
Châu Mỹ (51,12%)
Châu Âu (40,83%)
Châu Á (7,64%)
Khác (0,41%)","Nguyên vật liệu: 55,6%
• Vải may, Bông tấm, Các phụ kiện.
• Đa số được chỉ định bởi khách hàng và Phần lớn được nhập khẩu từ Trung Quốc.
Chi phí nhân công: 33,4%","Số lao động đầu năm 2023 18.117 người (+14% YoY)
Nhà máy sản xuất
Gồm 319 dây chuyền may với công suất 60 triệu sản phẩm/năm
Mỗi dây chuyền khoảng 20-30 người thực hiện công đoạn Cắt vải - May - Kiểm tra chất lượng - Giặt ủi, đóng gói.","May mặc
Sản phẩm được xuất khẩu cho các nhãn hàng đặt may, trong đó khoảng 50% doanh thu là áo khoác gió, quần áo thể thao và 40% là quần dài.
Cơ cấu khách hàng theo đơn hàng
- Decathlon (29%), Abercrombie & Fitch (11%), The Children Palace (10%), Nike (10%), ...
- Decathlon (DCL): Sản phẩm của DCL chủ yếu được may theo phương thức FOB với sản phẩm chính quần áo thể thao, đồ bơi, ... biên lợi nhuận khoảng 16- 18%
- The Children Palace (TCP): Sản phẩm chủ yếu là quần áo trẻ em, có biên lợi nhuận khoảng 14%
Mảng Bất động sản (Đầu năm 2023)
TNG Village 1
• Vốn đầu tư: 160 tỷ đồng.
• Đã bán 156/186 căn. Còn lại cho thuê dài hạn.
KCN Sơn Cẩm 1
• Vốn đầu tư: 1.177 tỷ đồng.
• 30ha cho thuê đang đàm phán giai đoạn cuối với ít nhất 2 khách hàng.
KDC Đại Thắng, KDC Hồng Tiến
• Vốn đầu tư: tổng hơn 1.200 tỷ đồng .
• Đang đấu giá.","Kế hoạch kinh doanh 2023
Doanh thu 6.800 tỷ, LNST 300 tỷ đồng (+2,4% yoy).
Cổ tức dự kiến 16%.
Mục tiêu trung và dài hạn
Doanh thu đạt 500 triệu đô vào 2026 và 1 tỷ đô vào năm 2030."
TNH,HOSE,Nhà cung cấp và dịch vụ chăm sóc sức khỏe,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm (2022)
Bán hàng: FOB
• Doanh thu: 83,2%.
• Lợi nhuận gộp: 82,6%.
Gia công: CMT
• Doanh thu: 15,8%.
• Lợi nhuận gộp: 15,7%.
Sản phẩm thời trang
• Doanh thu: 0,7%.
• Lợi nhuận gộp: 0,9%.
Bất động sản
• Doanh thu: 0,3%.
• Lợi nhuận gộp: 0,8%.
Cơ cấu doanh thu theo thị trường xuất khẩu (2022)
Châu Mỹ (51,12%)
Châu Âu (40,83%)
Châu Á (7,64%)
Khác (0,41%)","Chi phí hoạt động
Lương thưởng cho nhân viên (45%): Bác sỹ, y tá, nhân viên khác
Chi phí thường xuyên (30%): thuốc, dụng cụ phẫu thuật, vật tư y tế sử dụng 1 lần
Khấu hao (15%): Giường, máy móc hoạt động, tòa nhà và các thiết bị liên quan
Khác (10%): Dịch vụ cho thuê, chi phí quản lý,...","Năng lực sản xuất
Sở hữu 2 bệnh viện: Bệnh viện Quốc tế Thái Nguyên và Bệnh viện Yên Bình có quy mô lên đến 1000 giường bệnh
• Bệnh viện Cơ sở Thái Nguyên: quy mô khoảng 600 giường
• Bệnh viện Cơ sở Yên Bình quy mô khoảng 400 giường
• Trang bị nhiều máy móc thiết bị hiện đại: máy chụp cắt lớp vi tính 64 dãy máy nội soi màu 04 chiều, hệ thống máy xét nghiệm sinh hóa, huyết học, miễn dịch hoàn toàn tự động,...","Khách hàng
TNH hiện đang tiếp nhận khoảng 600-800 lượt khám chữa bệnh mỗi ngành và có thể tiếp nhận lên đến 1000-1200 lượt khám mỗi ngày.
TNH liên tục mở rộng mô hình bệnh viện tư nhân sang các tỉnh lân cận như Bắc Giang, Tuyên Quang, Bắc Kan,... hướng đến người dân ở các tỉnh vùng trung du miền núi Đông Bắc Bộ
Giá khám chữa bệnh
Theo kế hoạch của Chính phủ tại Thông tư 37/2015/TTLT- BYTBTC, từ năm 2021 trở đi, Chính phủ sẽ thực hiện 2 đợt tăng giá viện phí đối với bệnh viện công và giá viện phí BHYT, giúp TNH có cơ hội tăng giá trung bình từ 6-8% trong năm 2022, đặc biệt là sau khi bệnh viện phụ sản và bệnh viện mắt đi vào hoạt động.
Số lượt khám bệnh (2022)
Có 536.481 nghìn tổng số lần khám bệnh.","Kế hoạch 2023 và giai đoạn tới
2023 số lần khám bệnh của bệnh nhân là 570.865 lượt và có 550 giường bệnh, tổng số người điều trị là 51.563 người.
Tập trung vào các dự án mở rộng
• TNH Việt Yên (Bắc Giang) với quy mô 300 giường, dự kiến hoàn thành vào quý 2 2024.
• TNH Lạng Sơn quy mô 300 giường, dự kiến hoàn thành GĐ 1 cuối năm 2024.
• Bệnh viện Sản Nhi quy mô 100 giường bệnh và tương lai xa là Bệnh viện mắt."
NBC,HNX,Than và hoạt động liên quan,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm (2022)
Bán than
• Doanh thu: 99%.
• Lợi nhuận gộp: 96%.
Cung cấp dịch vụ
• Doanh thu: 1%.
• Lợi nhuận gộp: 4%.",No Data,"Năng lực sản xuất
- NBC có công suất khai thác than nguyên khai trung bình hàng năm vào khoảng 1,1 triệu tấn.","Phần lớn than NBC được TKV thu mua.
Than tiêu thụ năm 2022: 2.144 ngàn tấn.",No Data
NT2,HOSE,Tiện ích điện,"Cơ cấu thu nhập (2022)
100% bán điện","Khí GAS
Hợp đồng cung cấp dài hạn với Tổng công ty khí Việt Nam (GAS): Đảm bảo nguồn cung cấp khí tự nhiên tối thiểu là 784
triệu m3/năm.
Trên thực tế, lượng khí cấp cho NT2 được duy trì ở mức 917 triệu m3/năm trong giai đoạn 2015-19","Năng lực sản xuất
Công suất nhà máy: 750MW
• Vị trí địa lý: Nằm tại Khu công nghiệp (KCN) Ông Kèo, Nhơn Trạch, Đồng Nai (thuộc tam giác kinh tế Thành phố Hồ Chí Minh (TP.HCM) – Đồng Nai - Bà Rịa Vũng Tàu).
• Công nghệ: NT2 trang bị một tuabin khí có chu trình hỗn hợp (CCGT) thế hệ F (Gồm hai tuabin khí có công suất 250MW mỗi tuabin, hai lò thu hồi nhiệt và một tuabin hơi 250 MW).
Hiệu suất sử dụng giai đoạn 2013-2019 trung bình là 73%.(Cao hơn các nhà máy nhiệt điện khác như Cà Mau 1 và 2 - 58%, nhiệt điện Bà Rịa - 25% và nhà máy điện Phú Mỹ - 69%).","Đầu ra của NT2 100% là EVN
Sản lượng điện (2022)
4.065 Tr.Kwh
Tỷ lệ sản lượng hợp đồng Qc được phần bổ theo hợp đồng là 85%.
Giá bán điện trên thị trường (2022)
Trung bình đạt 1.519 đồng (+51.4%YoY)","Kế hoạch hoạt động 2023 và giai đoạn tới
NT2 đưa ra kế hoạch sản lượng điện huy động là 4.100 triệu kWh (+0,9% svck).
Tỷ lệ chia cổ tức bằng tiền dự kiến là 15%.
Kế hoạch phát triển điện mặt trời: Hiện tại, NT2 cho biết đã dùng hoạt động nghiên cứu phát triển điện mặt trời do quá trình thi công NT3&4 có bụi ảnh hưởng. Tuy nhiên, ban lãnh đạo cũng cho biết NT2 có thể góp vốn đối với các dự án điện mặt trời phù hợp trong tương lai khi công ty có dòng tiền mạnh."
NTP,HNX,Hóa chất,No Data,"Nguyên vật liệu
Chi phí NVL chiếm khoảng 63% chi phí sxkd của NTP, trong đó chi phí mua hạt nhựa đầu vào tương ứng khoảng 70% chi phí
nguyên vật liệu (2022)
Do hiện các nhà máy lọc hóa dầu như Bình Sơn và Nghi Sơn đều tập trung ở phía Nam, cản trở NTP trong việc tiếp cận với nguồn nguyên liệu nhựa nguyên sinh do chi phí vận chuyển cao.
Vì vậy, NTP đang nhập khẩu 100% 3 loại hạt nhựa nguyên sinh sau:
• Hạt nhựa PVC – chiếm khoảng 68% nguyên liệu nhựa của NTP.
• Hạt nhựa HDPE & PE – chiếm khoảng 18% nguyên liệu nhựa của NTP.
• Hạt nhựa PP – chiếm khoảng 14% nguyên liệu nhựa của NTP.","Tổng công suất
190.000 tấn/năm.
• NM tại Hải Phòng:110.000 tấn/năm.
• NM tại Nghệ An: 20.000 tấn/năm (NTP là doanh nghiệp duy nhất đầu tư nhà máy sản xuất tại thị trường miền Trung).
• NM tại Bình Dương: 60.000 tấn/năm.
NTP có lợi thế về ống nhựa và phụ tùng HDPE cùng các ống nhựa tiên tiến như ống PP 2 lớp và ống MPVC phục vụ cho ngành cấp thoát nước.
Tiềm năng tại mảng này là rất lớn vì các doanh nghiệp nhựa xây dựng khác đa phần tập trung vào mảng nhựa dân dụng giá rẻ nhiều hơn.","Sản phẩm của NTP chia làm 2 nhóm chính
- Ống nhựa và phụ tùng nhựa phục vụ XD dân dụng Ống và phụ tùng uPVC và PPR.
- Ống nhựa và phụ tùng nhựa phục vụ XD hạ tầng cấp và thoát nước: Ống và phụ tùng HDPE, Ống nhựa gân sóng PP 2 lớp, ống nhựa MPVC.
Thị phần
- NTP đang chiếm khoảng 58% thị phần miền Bắc và 3006 thị phần cả nước.
- NTP có thị phần đúng thứ 3 ở thị trường miền Nam, sau EMP và HSG do độ nhận diện thương hiệu tại khu vực này kiếm hơn.
Cơ cấu sản phẩm đa dạng
- Nhựa Tiền Phong là doanh nghiệp có cơ cấu sản phẩm đa dạng nhất trong các doanh nghiệp ngành ống nhựa với khoảng 748 loại sản phẩm, trong khi EMP chỉ có 332 loại sản phẩm, HSG 275 loại và Stroman 123 Roul.
- Mảng ống nhựa HDPE (công nghệ hiện đại và mức đầu tư cao, các DN khác không ưu tiên phát triển) là thế mạnh của NTP.
- Các sản phẩm ống nhựa HDPE chủ yếu được phân phổi bằng cách bán trực tiếp cho dự án thay vì thông qua đại lý như nhựa dân dụng.
Mức độ cạnh tranh về giá bán
- Giá bán các sản phẩm của NTP thường cao hơn các doanh nghiệp nhựa xây dựng khác khoảng 10% (145 đối với sản phẩm uPVC).
- Tỷ lệ chiết khấu duy trì ở mức 14-18% cho các sản phẩm ống nhục phổ thông và từ 50-55% cho các sản phẩm ống nhựa dẫn dụng cao cấp. (tỷ lệ này ở 150 lần lượt là 35-006 và 67-696)
Hệ thống phân phối
- NTP sở hữu hệ thống phân phối lớn nhất cả nước, gồm 12 trung tâm phân phối với hơn 400 đại lý và gần Tên:000 điểm bán hàng trải dài trên toàn quốc",No Data
OCH,HNX,Sản phẩm thực phẩm,"Cơ cấu doanh thu và lợi nhuận gộp (2022)
Thành phẩm: Kem, thực phẩm khác.
• Doanh thu: 89,7%.
• Lợi nhuận gộp: 98,5%.
Bán hàng hóa : Chủ yếu là bao bì
• Doanh thu: 2,8%.
• Lợi nhuận gộp: 3,4%.
Cung cấp dịch vụ
• Doanh thu: 7,5%.
• Lợi nhuận gộp: Lỗ 9 tỷ đồng.",No Data,No Data,"Mảng thực phẩm
- Đây là mảng kinh doanh chủ chốt của OCH. Công ty hiện đang sở hữu các thương hiệu thực phẩm nổi tiếng là Bánh Givral và Kem Tràng Tiền Givral Bakery: thương hiệu bánh danh tiếng của Sài Gòn với bề dày lịch sử 70 năm. Tính đến năm 2021, OCH đã có 4 cửa hàng tại Hà Nội và 35 cửa hàng tại TP.HCM
- Kem Tràng Tiền: với sản phẩm tiêu biểu là Kem Mochi. Đây là top 10 các nhóm ngành sản phẩm, dịch vụ Tin dùng được người tiêu dùng bình chọn năm 2021. Sản phẩm Kem tràng tiền với bề dày lịch sử 60 năm. Theo đó, chuỗi cửa hàng kem tràng tiền được mở rộng khắp cả nước
Mảng Dịch vụ Khách sạn
OCH xây dựng chuỗi khách sạn cao cấp mang thương hiệu Sunrise đạt tiêu chuẩn 5 sao quốc tế và StarCity Hotel đạt tiêu chuẩn 4 sao quốc tế tại TP.HCM, Nha Trang, Hội An, Hà Nội Sunrise Nha Trang: là khách sạn 5 sao với kiến trúc cổ điển với 125 phòng nghỉ hướng biển, nhiều dịch vụ đa dạng như Tour, Sunrise Spa, Bãi biển riêng, Hồ bơi, Đón tiễn sân bay, Gym,..",
PDV,UPCOM,Đường biển,"Cơ cấu doanh thu (2022)
- Thương mại (11,7%)
- Vận tải biển (83,4%)
- Khác (4,9%)",No Data,"Vận tải Dầu và hóa chất
PVT Logistics đang sở hữu và khai thác đội tàu dầu – hóa chất – hàng rời size từ 13.000- 56.000 DWT khai thác tuyến quốc tế.
Dịch vụ thương mại
Mạng lưới cung cấp nhiên liệu của PVT Logistics có mặt hầu hết ở các cảng biển và thành phố lớn tại Việt Nam như Hồ Chí Minh, Vũng Tàu, Cần Thơ, An Giang, Quảng Ngãi, Đà Nẵng, Hải Phòng, Quảng Ninh.
PVT Logistics còn triển khai các sản phẩm dịch vụ gia tăng khác như kinh doanh hạt nhựa với các sản phẩm PP, PE, LDPE, LLDPE phục vụ cho nghành công nghiệp sản xuất bao bì; khí dầu mỏ hóa lỏng (LPG), than đá.",No Data,"Kế hoạch năm 2023 và giai đoạn tới
Thực hiện tăng vốn từ 311 tỷ lên 511 tỷ bằng cách chào bán cổ phiếu ra công chúng.
Cổ tức dự kiến của năm 2022 là 8% tiền mặt"
PET,HOSE,Nhà phân phối,"Cơ cấu doanh thu (2022): Dịch vụ phân phối (88%), Dịch vụ cung ứng và hậu cần (4%), Dịch vụ đời sống (5%), Dịch vụ bất động sản (3%).
Cơ cấu doanh thu mảng phân phối (2022): Sản phẩm viễn thông - điện tử (90%), Sản phẩm hóa dầu (10%).
Cơ cấu doanh thu mảng dịch vụ cung ứng và hậu cần (2022): Cung ứng VTTB dầu khí (35%), Dịch vụ hậu cần (65%).
Cơ cấu doanh thu mảng đời sống (2022): Dịch vụ Catering (94%), Cung ứng thực phẩm (6%).
Cơ cấu lợi nhuận trước thuế (2022): Dịch vụ phân phối (130%), Dịch vụ cung ứng và hậu cần (6%), Dịch vụ đời sống (25%), Dịch vụ bất động sản (36%), Hoạt động tài chính (-97%).
Cơ cấu lợi nhuận mảng phân phối (2022):Sản phẩm viễn thông - điện tử (96%), Sản phẩm hóa dầu (4%).
Cơ cấu lợi nhuận mảng dịch vụ cung ứng và hậu cần (2022): Cung ứng VTTB dầu khí (-122%), Dịch vụ hậu cần (222%).
Cơ cấu lợi nhuận mảng đời sống (2022): Dịch vụ Catering (94%), Cung ứng thực phẩm (6%).","Đầu vào
PET đang là 1 trong những Synex độc quyền phân phối các sản phẩm của Apple.
Ngoài ra PET còn phân phối cho các đại lý với các thương hiệu khác như Samsung, Dell, Lenovo, Asus...",No Data,"Mảng phân phối viễn thông - điện tử
- Hệ thống phân phối và bán lẻ rộng khắp cả nước thông qua hệ thống chi nhánh và kho bãi tại 11 tỉnh thành trên toàn quốc. Hà
Nội, Hải Phòng, Vinh, Đà Nẵng, Quy Nhơn, Gia Lai, Buôn Mê Thuật, Nha Trang, Thành phố Hồ Chí Minh, Tiền Giang và Cần
That.
- Các nhân hàng danh tiếng đã và đang được PETROSETCO phân phối tại thị trường Việt Nam là Điện thoại di động Apple, Samsung, Sony, HTC,
Blackberry, Gionee, Philips, Motorola, Lenovo, Itel, Techno, Infinix, Realme, --- Máy tính xách tay như: Apple, Dell, Asus, Lenovo, HP, Acer, Fujitsu, Máy tính bằng như: Apple, Lenovo, Samsung, Đồng hồ Samsung, Garmin.... Các thương hiệu linh kiện AMD, Asus, Huawei, Sandisk, Elixir, Genius, 3M, ZyXEL, Transcend, Corsair, Cyber Power.
- Phụ kiện dành cho điện thoại di động và máy tính bằng của các hãng Samsung, Otter Box, In Thiết bị mạng Lynksy, Thiết bị, giải pháp và các sản phẩm công nghệ của Microsoft tại Việt Nam và Lào.

Mảng dịch vụ đời sống
Các đơn vị thành viên thực hiện dịch vụ :
- PSV (Dịch vụ cho các công trình biến, khu công nghiệp, văn phòng PSA (Dịch vụ cho khu công nghiệp, khu nhà ở, văn phòng, trường học)

Khách hàng chính của PETROSETCO bao gồm : Vietsovpetro, PVEP, PVGas, Biển Đông POC, PVGas, ESR, PVI, PTSC, – các nhà thầu Dầu khí như Nam Côn Sơn Pipelines, Cửu Long JOC, Knoc, Ocean General, Phú Mỹ 3, Transocean Sedco Forex, Technip,

Mảng dịch vụ cung ứng hậu cần
Cung ứng vật tư thiết bị Dịch vụ khác, Dịch vụ logistics có độ phủ toàn quốc",No Data
PGV,HOSE,Tiện ích điện,"Cơ cấu doanh thu (2022)
- Điện khí (44,61%)
- Điện than (36,9%)
- Khác (18,47%).","Khí
Các nhà máy nhiệt điện Phú Mỹ của PGV sẽ được bao tiêu lượng lớn khí của bể Nam Côn Sơn, theo thỏa thuận giữa PVN và PGV (hợp đồng có hạn đến hết 2024 – theo Bản cáo bạch) và ít khi xảy ra tình trạng thiếu khí như các nhà máy nhiệt điện Nhơn Trạch 1, 2.
Dòng khí đầu tiên từ mỏ Sao Vàng – Đại Nguyệt với sản lượng mỗi năm đạt khoảng 1,5 tỷ m3 khí/năm (tổng trữ lượng khoảng 170 tỷ m3). Giá cao hơn 30% – 40% giá các mỏ cũ.
Than
NMNĐ than của EVNGENCO3 đều đã ký hợp đồng cung cấp than dài hạn với Tập đoàn Công nghiệp Than Khoáng sản Việt Nam và Tổng Công ty Đông Bắc để đảm bảo khoảng 80% nhu cầu than cho nhà máy hoạt động. 20% còn lại nhập khẩu.","Cu cầu công suất đặt các công ty lớn
Gerical (1;19), Gencc) (63), Genco) (2,90), Côn (3).
Emcal chiếm 11,4% công suất đợt phân Nam với 6550 BAN theo tỷ lệ sở hữu và thường được lại tên huy động ở mức cao lên thì trung bình 60-700i cũng xuất khả dụng
Nhiệt điện than
Nhớ nhất điện than Mông Dương 1 (Căn Phủ, Quảng Ninh, 20. Công muốn 1000 M
Nhà máy sử dụng công nghệ là hai tăng ni bu hoàn JOF
ƯU ĐÃI CỦA CÔNG NGHỆ này giúp nhà máy có thể đốt than xấu (t bị thấp, hàm lượng ra huỳnh cách, chất lượng
Nhớ nhiệt diện than Vĩnh Tân 2 (TyPhong, Bình Thuận 201
Công xuất 1248 BẢN
Như nhiệt điện than Ninh lãnh thành lãnh 1976-54, tỷ lệ t hữu 54,700) Công suất 300 BẢNG
Nhiệt điện khi
Nhớ nhiệt diện khi Phú Mỹ (PHÚ MẸ, Đà Rịa - Vũng Tàu, Bea
Như nhật điện khi là lộn lựa Hộp - Vũng Tàu 2002-2007 tỷ 18 sở hữu 22,500 Công suất 200 BẢN
Thay din
Như thủy điện Quân Hiệp (OK LEN 2000,
• Thủy điện thuộc hệ thống thủy điện thuộc lưu vực sông Mình không thành phụ linh nằm trên sông Sample Công
Như thủy điện Quân Than San
Thủy điện thuộc hệ thống thủy diện thuộc hai vực nông
Mà Không thành phụ tinh nằm trên sông không KGB ( 2 dòng sông hợp thành dân, Ẩm t trong
Công mất thiết kế là b
Như thủy điện Serepok 2 (a Năng 2014, tỷ lệ sở hữu 200
• Thủy điện thuộc hệ thống thủy điện thuộc lưu vực sông
Mà Không thành phụ anh nằm trên sông làm ng
Công
Diện mặt trê
NẾU ĐẾN MỘT ĐƠN VĨNH TÂN 2 (Tuy Phong Bình Thuận 200C
Công suất là 5
Song: 2071 (2022)","100% đầu ra của PGV là EVN
2022 sản lượng điện sản xuất của PGV là 32.242 tỷ kWh.
","Kế hoạch kinh doanh 2023 và giai đoạn tới
Duy trì hoạt động sản xuất điện ổn định đảm bảo an ninh nặng lượng Quốc gia.
Dự án Nhiệt điện Long Sơn
Đang trong giai đoạn khảo sát, xin ý kiến của các ban Ngành."
PHP,UPCOM,Cơ sở hạ tầng giao thông,"Cơ cấu doanh thu (2022)
Dịch vụ cảng (100%)",No Data,"Năng lực khai thác
Cảng Hoàng Diệu (Cảng hàng rời):
Công suất thiết kế: 6.000.000 tấn/năm.
Trọng tải tàu tiếp nhận tối đa 50.000 DWT.
Cảng Chùa Vẽ:
• Công suất thiết kế: 500.000 TEUs/năm.
• Trọng tải tàu tiếp nhận tối đa 20.000 DWT.
Cảng Tân Vũ:
Công suất thiết kế: 1.000.000 TEUs/năm.
Trọng tải tàu tiếp nhận tối đa 55.000 DWT.
Cảng Đình Vũ:
• Công suất thiết kế: 600.000 TEUs/năm.
• Trọng tải tàu tiếp nhận tối đa 30.000 DWT.","Sản lượng khai thác (2022)
37,92 triệu tấn (-7,8% YoY), trong đó container 1.925.700 TEU (-5,5% YoY).
Hàng hóa bắt đầu được dịch chuyển từ cảng Hoàng
Diệu sang cảng Chùa Vẽ và Tân Vũ từ năm 2018 (các cảng này năm gần hạ nguồn hơn).","Kế hoạch kinh doanh 2023 và giai đoạn tới
Tiếp tục dự án xây dựng Cảng nước sâu bến 3, 4 tại Lạch Huyện.
Tăng vốn điều lệ: Doanh nghiệp đã gửi thư cho 3 nhà đầu tư chiến lược và nhận được thư quan tâm của các nhà đầu tư này, doanh nghiệp đang tiến hành các thủ tục, hồ sơ để tiến hành đàm phán chi tiết."
PHR,HOSE,Giấy và lâm sản,"Doanh thu theo sản phẩm (2022)
- Bán thành phẩm(85,2%)
- Thuê đất và phí sử dụng hạ tầng KCN (14%)
- Khác (0,8%)
Cơ cấu lợi nhuận gộp (2022)
- Bán thành phẩm (55,1%)
- Thuê đất và phí sử dụng hạ tầng KCN (43,9%)
- Khác (1%)","Diện tích đất khai thác cao su (2022)
Sở hữu 15 nghìn ha đất tại Bình Dương và 8 nghìn ha đất tại Campuchia
• Diện tích đất trồng hơn 11 nghìn ha cao su
• Sản lượng khai thác 10.515 nghìn tấn","NM chế biển mù
- NM chế biến Bố Lá: 9 nghìn tấn/năm
- NM chế biến mủ ly tâm: 3 nghìn tấn/năm
- NM chế biến của Paris: 18 nghìn tấn/năm gồm 2 dây chuyền sơ chế mủ cấm (12 nghìn tấn/năm) và 1 dây chuyền sơ chế mủ tạp (6 nghìn tấn/năm)
- NM chế biến gỗ Trường Phát: 38.600 m3/năm.","Sản lượng tiêu thụ (2022)
Khoảng 33.4 nghìn tấn mủ thành phẩm với giá bán bình quân 38,65 triệu đồng/tấn
Năng suất
2 tấn/ha
Xuất khẩu
50%, trong đó SVR CV50,60 chiếm 22% sản lượng xuất khẩu ngành
Mảng KCN
KCN Tân Bình (sở hữu 80%): Năm 2021, công ty đã ký hợp đồng thuê lại đất với tổng diện tích là 217.32 ha (chiếm 87.63%)
• Giá thuê 110 USD/m2/chu kỳ thuê
Hiện tại, KCN Tân Bình có 58 doanh nghiệp đang sản xuất với tỷ lệ lấp đầy dự án là 81.93%
Dự án Khu dân cư Phước Hòa: với quy mô dự án là 31.35 ha
• Hiện dự án đang hoàn thiện hồ sơ để tách nền đất bàn giao cho khách hàng ứng trước tiền (khoảng 78 nghìn tỷ)","Kế hoạch 2023
Diện tích vườn cây khai thác: 7.3 nghìn hạ
Diện tích chăm sóc vườn cây KTCB: 4.9 hạ
Sản lượng cao su khai thác: 21.6 nghìn hạ
Sản lượng cao su thua mua: 25.7 nghìn hạ
Sản lượng cao su tiêu thụ: 351 nghìn ha
Giá bán thành phẩm cao su: 39.45 triệu/tấn
Mục tiêu 2020-2025
Mảng KCN:
• Trong giai đoạn 2020-2025 tập trung hoàn hiện hồ sơ pháp lý để triển khai mở rộng 4 dự án KCN: KCN Tân Bình 1,055 ha (giai đoạn 2), làm chủ đầu tư 02 KCN-Đô Thị-Dịch vụ (Hội Nghĩa: 715 ha, Bình Mỹ: 1,002 ha), Khu công nghiệp Tân Lập I (201,62 ha)
• Dự án VSIP III: Dự án Khu công nghiệp Việt Nam Singapore 3 (KCN VSIP III) có tổng diện tích 1.000ha. Dự kiến từ năm 2023, dự án sẽ hoàn thành với giá cho thuê khoảng 130-150USD/m2, PHR sẽ nhận thêm 20% thu nhập được chia từ việc bán đất KCN VSIP III và 20% lợi nhuận được chia từ cổ phần PHR tại dự án này.
Mục tiêu dài hạn (2020-2030)
Chuyển đổi đất cao su thành đất KCN với mục tiêu chuyển đổi 5.6 nghìn ha sang KCN tại Bình Dương (4 nghìn ha tự phát triển + 1 nghìn hạ chuyển nhượng BĐS)"
